SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes,year_normalized,years_since_start,economic_period,is_covid_period,balance_commerciale_fcfa,balance_commerciale_tonnes,taux_couverture,ratio_prod_conso_fcfa,ratio_prod_imports,intensite_export,prix_unitaire_production,prix_unitaire_imports,prix_unitaire_exports,total_production_fcfa,total_production_tonnes,part_marche_production,indice_specialisation,valeur_ajoutee_estimee,demande_interieure,taux_autosuffisance,production_fcfa_lag1,production_fcfa_lag2,production_tonnes_lag1,production_tonnes_lag2,imports_fcfa_lag1,imports_fcfa_lag2,exports_fcfa_lag1,exports_fcfa_lag2,production_fcfa_growth,production_tonnes_growth,imports_fcfa_growth,exports_fcfa_growth,production_fcfa_ma3,production_tonnes_ma3,imports_fcfa_ma3,exports_fcfa_ma3,production_trend,sector_encoded,period_encoded,sector_size_category,sector_size_encoded
IX,"Bois, charbons de bois et ouvrages en bois",2014,4.7,69.6,4.7,69.4,4.7,0.0,69.5,0.1,0.0,0,pre_2017,0,-4.7,-69.4,0.0,1.0,1.0,0.0,0.06752873563218392,0.06762589928057554,0.0,3056.1,5761.5,0.15379077909754263,123.51807030529474,-0.06762589928057554,9.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,69.6,4.7,0.0,0.5121212121212122,2,3,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2015,4.6,70.5,4.4,67.69999999999999,4.5,0.1,69.1,1.4,0.1111111111111111,1,pre_2017,0,-4.4,-67.69999999999999,2.2222222222222223,1.0454545454545452,1.0222222222222221,2.173913043478261,0.06524822695035461,0.06512301013024603,0.07142857142857144,3126.4,6266.0,0.14713408393039915,118.17170203483658,0.006305561298325407,9.0,51.11111111111111,4.7,0.0,69.6,0.0,4.7,0.0,0.0,0.0,-2.1276595744680966,1.2931034482758703,-4.255319148936174,0.0,4.65,70.05,4.6,0.05,0.5121212121212122,2,3,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2016,4.7,52.7,4.3,42.3,4.5,0.2,47.5,5.2,0.2222222222222222,2,pre_2017,0,-4.3,-42.3,4.444444444444445,1.0930232558139537,1.0444444444444445,4.25531914893617,0.08918406072106262,0.09473684210526316,0.038461538461538464,3483.8,7737.0,0.13491015557724323,108.35397401114048,-0.0562753036437247,9.0,52.22222222222223,4.6,4.7,70.5,69.6,4.5,4.7,0.1,0.0,2.1739130434782727,-25.248226950354606,0.0,100.0,4.666666666666667,64.26666666666667,4.566666666666666,0.10000000000000002,0.5121212121212122,2,3,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2017,4.6,32.2,4.4,30.8,4.5,0.1,31.5,0.7,0.3333333333333333,3,2017_2019,0,-4.4,-30.8,2.2222222222222223,1.0454545454545452,1.0222222222222221,2.173913043478261,0.14285714285714282,0.14285714285714285,0.14285714285714288,3979.1,7398.3,0.11560403106230051,92.84813380958335,2.7755575615628914e-17,9.0,51.11111111111111,4.7,4.6,52.7,70.5,4.5,4.5,0.2,0.1,-2.1276595744680966,-38.89943074003795,0.0,-50.0,4.633333333333334,51.800000000000004,4.5,0.13333333333333333,0.5121212121212122,2,0,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2018,4.1,42.3,3.9,41.7,4.0,0.1,42.0,0.3,0.4444444444444444,4,2017_2019,0,-3.9,-41.7,2.5,1.0512820512820513,1.025,2.439024390243903,0.09692671394799054,0.09523809523809523,0.33333333333333337,4259.1,7462.1,0.09626446901927635,77.315438038605,0.23809523809523814,8.0,51.24999999999999,4.6,4.7,32.2,52.7,4.5,4.5,0.1,0.2,-10.869565217391305,31.366459627329174,-11.11111111111111,0.0,4.466666666666667,42.4,4.333333333333333,0.13333333333333333,0.5121212121212122,2,0,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2019,4.0,35.2,4.0,35.2,4.0,0.0,35.2,0.0,0.5555555555555556,5,2017_2019,0,-4.0,-35.2,0.0,1.0,1.0,0.0,0.11363636363636363,0.11363636363636363,0.0,4406.3,7113.4,0.09077911172639176,72.90983744455086,-0.11363636363636363,8.0,50.0,4.1,4.6,42.3,32.2,4.0,4.5,0.1,0.1,-2.439024390243894,-16.784869976359325,0.0,-100.0,4.233333333333333,36.56666666666667,4.166666666666667,0.06666666666666667,0.5121212121212122,2,0,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2020,5.3,43.7,5.1000000000000005,41.3,5.2,0.1,42.5,1.2,0.6666666666666666,6,2020_2021,1,-5.1000000000000005,-41.3,1.9230769230769231,1.0392156862745097,1.0192307692307692,1.886792452830189,0.12128146453089243,0.1223529411764706,0.08333333333333334,4923.6,8625.5,0.10764481273864651,86.45563554508894,-0.03901960784313725,10.4,50.96153846153846,4.0,4.1,35.2,42.3,4.0,4.0,0.0,0.1,32.49999999999999,24.14772727272727,30.000000000000004,0.0,4.466666666666666,40.4,4.3999999999999995,0.06666666666666667,0.5121212121212122,2,1,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2021,5.5,43.4,5.300000000000001,42.4,5.4,0.1,42.9,0.5,0.7777777777777778,7,2020_2021,1,-5.300000000000001,-42.4,1.8518518518518516,1.0377358490566035,1.0185185185185184,1.8181818181818183,0.12672811059907835,0.1258741258741259,0.2,5418.6,9230.5,0.10150223304912709,81.52218248374048,0.07412587412587412,10.8,50.92592592592592,5.3,4.0,43.7,35.2,5.2,4.0,0.1,0.0,3.7735849056603805,-0.6864988558352499,3.8461538461538494,0.0,4.933333333333334,40.76666666666667,4.866666666666667,0.06666666666666667,0.5121212121212122,2,1,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2022,8.1,63.900000000000006,7.7,63.5,7.9,0.2,63.7,0.2,0.8888888888888888,8,post_2021,0,-7.7,-63.5,2.5316455696202533,1.051948051948052,1.0253164556962024,2.469135802469136,0.12676056338028166,0.12401883830455258,1.0,6364.8,10285.6,0.12726244343891402,102.21166397721014,0.8759811616954474,15.8,51.26582278481012,5.5,5.3,43.4,43.7,5.4,5.2,0.1,0.1,47.272727272727266,47.23502304147467,46.29629629629629,100.0,6.3,50.333333333333336,6.166666666666667,0.13333333333333333,0.5121212121212122,2,2,small,2
IX,"Bois, charbons de bois et ouvrages en bois",2023,10.7,70.60000000000001,9.7,62.2,10.2,0.5,66.4,4.2,1.0,9,post_2021,0,-9.7,-62.2,4.901960784313726,1.1030927835051547,1.0490196078431373,4.672897196261683,0.15155807365439092,0.15361445783132527,0.11904761904761904,6286.9,11284.7,0.1701951677297237,136.69336234994958,-0.03456683878370623,20.4,52.450980392156865,8.1,5.5,63.900000000000006,43.4,7.9,5.4,0.2,0.1,32.098765432098766,10.485133020344291,29.113924050632896,149.99999999999997,8.1,59.30000000000001,7.833333333333333,0.26666666666666666,0.5121212121212122,2,2,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2014,7.6,23.8,7.4,15.2,7.5,0.1,19.5,4.3,0.0,0,pre_2017,0,-7.4,-15.2,1.3333333333333335,1.027027027027027,1.0133333333333332,1.3157894736842106,0.31932773109243695,0.38461538461538464,0.023255813953488375,3056.1,5761.5,0.2486829619449625,161.63595990468076,-0.3613595706618963,15.0,50.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,23.8,7.5,0.1,0.14848484848484844,3,3,small,2
