SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2022,2103.2000000000003,2.8000000000000003,-2101.4,2.6
XIX,"Armes, munitions et leurs parties et accessoires",2022,0.9,0.0,0.7000000000000001,0.0
XV,Métaux communs et ouvrages en ces métaux,2022,318.6,538.2,263.0,412.8
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2022,458.1,158.70000000000002,399.9,135.9
XVII,Matériel de transport,2022,208.5,207.8,172.89999999999998,197.8
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2022,38.3,3.6,36.3,3.6
XX,Marchandises et produits divers,2022,29.3,46.9,27.3,45.9
XXI,"Objets d'art, de collection ou d'antiquité",2022,0.2,0.0,0.0,0.0
Ensemble,TOTAL,2023,6286.9,11284.7,866.7000000000003,7218.099999999999
I,Animaux vivants et produits du règne animal,2023,48.9,202.0,41.1,194.2
II,Produit du règne végétal,2023,366.6,1780.1,-2.4000000000000057,831.3000000000001
III,Graisses et huiles animales ou végétales,2023,44.5,203.4,9.9,166.79999999999998
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2023,183.1,653.5999999999999,135.70000000000002,418.0
IX,"Bois, charbons de bois et ouvrages en bois",2023,10.7,70.60000000000001,9.7,62.2
V,Produits minéraux,2023,1649.5,6207.6,1486.9,3846.0
VI,Produits des industries chimiques et connexes,2023,422.0,608.0,401.0,581.8
VII,Matières plastiques et ouvrages en ces matières,2023,99.9,143.70000000000002,97.5,138.1
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2023,6.199999999999999,18.3,4.0,17.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2023,36.7,42.400000000000006,35.9,42.0
XI,Matières textiles et ouvrages en ces matières,2023,197.9,239.0,-119.70000000000002,-22.19999999999999
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2023,8.4,33.5,8.200000000000001,33.099999999999994
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2023,37.0,188.0,36.8,183.8
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2023,2134.5,2.6,-2132.7,2.4
XIX,"Armes, munitions et leurs parties et accessoires",2023,1.5,0.4,1.5,0.4
XV,Métaux communs et ouvrages en ces métaux,2023,261.4,490.8,224.0,379.8
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2023,478.5,164.3,394.5,130.3
XVII,Matériel de transport,2023,220.1,180.7,161.9,159.3
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2023,31.4,3.2,29.2,3.0
XX,Marchandises et produits divers,2023,29.9,53.1,25.9,51.1
XXI,"Objets d'art, de collection ou d'antiquité",2023,0.2,0.1,0.0,-0.1
