year,LIBELLES,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
2023,Pâtes de bois ou d'autres matières fibreuses cellulosiques,36.3,0.4,42.2,0.2
2014,Matières textiles et ouvrages en ces matières,30.4,233.6,55.3,291.0
2015,Matières textiles et ouvrages en ces matières,24.9,179.8,59.2,259.6
2016,Matières textiles et ouvrages en ces matières,61.7,255.5,95.2,330.6
2017,Matières textiles et ouvrages en ces matières,34.8,217.4,134.6,249.6
2018,Matières textiles et ouvrages en ces matières,31.0,180.1,116.2,200.4
2019,Matières textiles et ouvrages en ces matières,51.8,209.1,133.0,221.2
2020,Matières textiles et ouvrages en ces matières,50.1,153.9,138.3,169.8
2021,Matières textiles et ouvrages en ces matières,47.7,255.2,136.5,261.6
2022,Matières textiles et ouvrages en ces matières,58.4,299.5,111.0,272.4
2023,Matières textiles et ouvrages en ces matières,39.1,158.8,108.4,130.6
2014,"Chaussures, coiffures, parapluie, cannes, etc.",7.5,0.1,19.5,4.3
2015,"Chaussures, coiffures, parapluie, cannes, etc.",3.8,0.1,17.6,3.8
2016,"Chaussures, coiffures, parapluie, cannes, etc.",8.3,0.0,67.8,1.2
2017,"Chaussures, coiffures, parapluie, cannes, etc.",5.8,0.0,26.5,0.9
2018,"Chaussures, coiffures, parapluie, cannes, etc.",6.6,0.0,25.9,0.2
2019,"Chaussures, coiffures, parapluie, cannes, etc.",5.9,0.0,27.8,0.3
2020,"Chaussures, coiffures, parapluie, cannes, etc.",5.3,0.0,26.4,0.3
2021,"Chaussures, coiffures, parapluie, cannes, etc.",7.2,0.1,30.9,0.5
2022,"Chaussures, coiffures, parapluie, cannes, etc.",7.3,0.1,28.0,0.2
2023,"Chaussures, coiffures, parapluie, cannes, etc.",8.3,0.1,33.3,0.2
2014,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",15.7,0.8,79.5,5.8
2015,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",13.7,0.4,79.8,4.9
2016,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",14.0,0.1,80.5,2.0
2017,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",16.7,0.3,98.2,4.0
